time_s,path_error_mm,heading_error_deg,v_left_target,v_right_target,v_left_actual,v_right_actual,omega_cmd,gyro_z,yaw_error,wheel_pi_turn,turn_pwm,left_pwm,right_pwm,x_m,y_m
2.74,2.6088444720881494,-0.033576357034021724,0.48801716569315506,0.311982834306845,0.48574093888606074,0.30984456508010405,-0.8225903335808881,-0.8219456719904518,-0.0006446615904363018,-0.5878679809322281,-17.31400250372035,53,19,0.40462610129367355,-0.7879595564892918
2.75,2.6060416322947244,-0.04492382002755522,0.48801716569315506,0.311982834306845,0.48452552356080825,0.31112263840331333,-0.8225903335808881,-0.8102938558761446,-0.012296477704743514,-0.7136342389700833,-17.353738270679987,53,19,0.4022926039973637,-0.7911813596757077
2.76,2.602694607337727,-0.05000280344021929,0.4879574050412173,0.3120425949587827,0.48345072298685376,0.31224610387083573,-0.8220318228151151,-0.8000215846542901,-0.022010238160825035,-0.8229614560867452,-17.412535360581224,53,19,0.39993294547584746,-0.7943843933529112
2.77,2.5992085530671556,-0.04959860018979173,0.4879574050412173,0.3120425949587827,0.4825127418863844,0.31321857799938446,-0.8220318228151151,-0.7910942237710276,-0.03093759904408755,-0.9214124291184513,-17.50595489481718,53,18,0.3975476419305815,-0.7975686301985021
2.78,2.595934204500181,-0.04450119060321835,0.4879648111668988,0.3120351888331012,0.4817148836022047,0.31403797996010085,-0.8221010389429798,-0.7835369329070273,-0.038564106035952506,-1.0042274596370138,-17.608115904096312,54,18,0.3951371621379352,-0.8007340225856578
2.79,2.59316812948049,-0.03547183489343727,0.4879648111668988,0.3120351888331012,0.4810476961174089,0.31471632755176665,-0.8221010389429798,-0.7772493858207581,-0.044851653122221724,-1.0693338254942062,-17.70640246752154,54,18,0.3927019242872526,-0.8038805065857415
2.8,2.5911567536564535,-0.02319616042652964,0.48802312301935047,0.3119768769806496,0.4804980748182083,0.3152705222049862,-0.82264600952664,-0.7720913673515051,-0.050554642175134945,-1.1224201057773768,-17.81361667571274,54,18,0.3902422957989513,-0.8070080078153656
2.81,2.5901013370183037,-0.008300555531814453,0.48802312301935047,0.3119768769806496,0.48005909609682684,0.3157123531734827,-0.82264600952664,-0.7679754342212344,-0.054670575305405644,-1.155146531739165,-17.8939520262155,54,18,0.3877585940035053,-0.8101164473014414
2.82,2.590163174311659,0.008694205203670317,0.48811786438885085,0.3118821356111492,0.4797102575977189,0.31606805123942616,-0.8235314428864565,-0.7646832072817418,-0.05884823560471475,-1.1805875163398016,-17.9877122738594,54,18,0.38525108726992097,-0.8132057467722918
2.83,2.5914703336887897,0.02732697174530499,0.48811786438885085,0.3118821356111492,0.4794501075315368,0.31634541728751303,-0.8235314428864565,-0.7621714497384287,-0.06135999314802787,-1.1857438014367296,-18.041835211349113,54,18,0.3827199977689316,-0.8162758340779698
2.84,2.5941223346534987,0.047245632978579276,0.48823784045836843,0.3117621595416316,0.47925565265846143,0.31657414528476663,-0.8246527145641906,-0.7601939596901626,-0.06445875487402808,-1.1887470530303514,-18.1155559385438,54,18,0.380165503212545,-0.8193266464008643
2.85,2.5981970323386347,0.0681436452797577,0.48823784045836843,0.3117621595416316,0.47913138295730917,0.3167565118075929,-0.8246527145641906,-0.7587610801388613,-0.0658916344253293,-1.1732589942499279,-18.143507095327518,54,18,0.3775877410147358,-0.8223581338936078
2.86,2.60375400412197,0.08981360363288411,0.4883753392739916,0.3116246607260084,0.4790541869103565,0.31692216898539904,-0.8259377502242206,-0.7576262519857827,-0.06831149823843785,-1.1607952776927308,-18.1977440999334,54,18,0.37498681057726807,-0.8253702601058581
2.87,2.6108407465692856,0.11207363495195805,0.4883753392739916,0.3116246607260084,0.4790338194255886,0.3170673898776752,-0.8259377502242206,-0.75685247452296,-0.06908527570126055,-1.1325671719518944,-18.20407962388188,54,18,0.3723627786156085,-0.8283630032745093
2.88,2.619493249366567,0.1346450287925323,0.5097753392739917,0.2902246607260084,0.4793850072440009,0.31688269230394517,-1.0259377502242206,-0.7593566118694196,-0.266581138354801,-2.8176338438198822,-24.230389381053214,55,12,0.36971568115564063,-0.8313363530666052
2.89,2.629397789649312,0.14646292781259657,0.5097753392739917,0.2902246607260084,0.4826393678484515,0.3138406754009019,-1.0259377502242206,-0.7887789366707925,-0.23715881355342816,-2.762917138902325,-24.391812725768705,55,12,0.3670452755637121,-0.8342900789068954
2.9,2.639506482963461,0.142229496378793,0.512468185652837,0.2875318143471631,0.48572051709291936,0.3110207030191405,-1.0511045388115603,-0.8163542713727987,-0.2347502674387616,-2.694786389059472,-25.117486857959566,55,11,0.36435076736570793,-0.8372234576891282
2.91,2.6487185859147733,0.1221077732802386,0.512468185652837,0.2875318143471631,0.4888727534901487,0.308180054045467,-1.0511045388115603,-0.844358408620008,-0.2067461301915523,-2.429313475264551,-24.996438135547045,55,11,0.3616313286657517,-0.8401357158807177
