time_s,path_error_mm,heading_error_deg,v_left_target,v_right_target,v_left_actual,v_right_actual,omega_cmd,gyro_z,yaw_error,wheel_pi_turn,turn_pwm,left_pwm,right_pwm,x_m,y_m
2.29,2.9954291611398545,0.1136343806595283,0.5125425854286836,0.28745741457131646,0.49199631238919567,0.31247275217699505,-1.0517998638194725,-0.8388951411785076,-0.21290472264096494,-2.7141645691551366,-22.849549488895086,55,13,0.4793243924510756,-0.6242997423035026
2.3,3.0025159617062314,0.08933352317602616,0.5125172792994985,0.2874827207005015,0.49358728502802446,0.3109935816268738,-1.0515633579392383,-0.8532416046782741,-0.19832175326096413,-2.5759130770226983,-22.714129165060758,55,13,0.47827309406734947,-0.6281825780818996
2.31,3.0076016834734216,0.05755678295640824,0.5125172792994985,0.2874827207005015,0.4949554699528666,0.3097426793630203,-1.0515633579392383,-0.8654803298590948,-0.18608302808014343,-2.466261210586432,-22.602955215957575,55,14,0.4771885061484049,-0.6320568441513262
2.32,3.010204445559053,0.019407226613008966,0.5124653535426507,0.28753464645734933,0.4961326344375754,0.30868295987592176,-1.0510780704920626,-0.8759330586993159,-0.17514501179274666,-2.3766325139307094,-22.493912325616417,55,14,0.4760702279334975,-0.635922132481368
2.33,3.009913655813189,-0.024155306354627638,0.5124653535426507,0.28753464645734933,0.4971374453561076,0.3077895504181599,-1.0510780704920626,-0.8848032473735874,-0.1662748231184752,-2.312585046720412,-22.41249265744333,55,14,0.4749179410293552,-0.6397780159299497
2.34,3.00638161293382,-0.07215563500689962,0.49106535354265074,0.3089346464573493,0.49768206597265274,0.3073434339591664,-0.8510780704920626,-0.8894328598761042,0.03835478938404158,-0.5506064469523131,-16.742990920834377,53,19,0.47373140315437856,-0.6436240448353568
2.35,2.9996375114168914,-0.11367026876580154,0.49106535354265074,0.3089346464573493,0.49544466566006146,0.3096592076656883,-0.8510780704920626,-0.8681563457680991,0.017078275276036448,-0.5423606982400075,-16.818596990978932,53,19,0.4725107487477262,-0.6474598429216231
2.36,2.9904259532575685,-0.14374100640489415,0.4880493445309391,0.3119506554690609,0.49342089068204126,0.31173389874431884,-0.8228910703826083,-0.849004635223002,0.02611356484039362,-0.5191860124718334,-16.150804584386737,52,20,0.4712568086764772,-0.6512852239714223
2.37,2.9795388266814524,-0.16238710566525816,0.4880493445309391,0.3119506554690609,0.49127271700255626,0.31389840594847174,-0.8228910703826083,-0.8288519208134789,0.005960850430870579,-0.7234208525825387,-16.297518716192513,52,20,0.4699704705747846,-0.6551000027491728
2.38,2.967762845497804,-0.17037275839523236,0.4879400236142813,0.31205997638571875,0.4893974846704561,0.31574875616061726,-0.821869379572722,-0.8114426565880322,-0.010426722984689829,-0.9306557627200298,-16.41234364826461,52,20,0.4686526292909279,-0.6589039812453519
