time_s,path_error_mm,heading_error_deg,v_left_target,v_right_target,v_left_actual,v_right_actual,omega_cmd,gyro_z,yaw_error,wheel_pi_turn,turn_pwm,left_pwm,right_pwm,x_m,y_m
2.84,2.6226399653122936,-0.026284384160046987,0.4880422649076317,0.31195773509236835,0.47960249442979547,0.3162273035134325,-0.8228249056788008,-0.7634354715717896,-0.05938943410701125,-1.138356796265087,-18.051451084719826,54,18,0.38041452628418415,-0.8193756571882556
2.85,2.621542723195472,-0.007035847079259738,0.4880422649076317,0.31195773509236835,0.4794079493965152,0.31647994536838675,-0.8228249056788008,-0.7613458132155533,-0.061479092463247564,-1.1281788930378676,-18.061482096983017,54,18,0.37783282625539477,-0.8224037917233746
2.86,2.6218272916983594,0.013368530876389673,0.48816130410357356,0.3118386958964265,0.47925809781514656,0.316718258080609,-0.8239374215287245,-0.7595319613763436,-0.06440546015238091,-1.1197377830739978,-18.10117545280122,54,18,0.3752279075733402,-0.8254124694541286
2.87,2.6235679060085855,0.034753595918653846,0.48816130410357356,0.3118386958964265,0.47916453099006673,0.31693667831319705,-0.8239374215287245,-0.7580740779292974,-0.06586334359942714,-1.097217633567643,-18.092499045216552,54,18,0.3725998582240975,-0.828401685359938
2.88,2.626828789921771,0.057024426285867125,0.48829786889519,0.31170213110481004,0.4791050914617315,0.31716260808621455,-0.8252137279924299,-0.7567405765211072,-0.06847315147132271,-1.081663390504077,-18.124770174726873,54,18,0.3699487362339053,-0.8313714473060517
2.89,2.63166884391795,0.08007589310073782,0.48829786889519,0.31170213110481004,0.47909745603266174,0.31738258721669166,-0.8252137279924299,-0.7556769570839723,-0.06953677090845756,-1.0544974846771882,-18.107555519003697,54,18,0.36727457567608107,-0.8343217747324377
2.9,2.6381395277883346,0.10364672650632169,0.50969786889519,0.29030213110481,0.4795284124688154,0.31721280764324444,-1.0252137279924298,-0.7584841346989294,-0.26672959329350043,-2.7440916059728755,-25.40614704431592,55,11,0.3645773884982239,-0.8372526921791724
2.91,2.6458716013809336,0.11436092695409289,0.50969786889519,0.29030213110481,0.4834519046604264,0.31360090287518927,-1.0252137279924298,-0.7936962700244728,-0.23151745796795697,-2.6914895638097036,-25.185764970075684,55,11,0.36185686728229044,-0.8401639410906774
2.92,2.653629177054289,0.10656214950167153,0.5124434170219413,0.28755658297805875,0.486938628036292,0.31047623718953127,-1.050873056279825,-0.8245906114334616,-0.2262824448463634,-2.5851470423123564,-25.58191264651635,55,10,0.3591120748486684,-0.8430546584161636
2.93,2.660188538629536,0.0816691051723449,0.5124434170219413,0.28755658297805875,0.49027943140400526,0.307546442974397,-1.050873056279825,-0.853892469297235,-0.19698058698259002,-2.3006746019020317,-25.06759347029033,55,11,0.3563421017446017,-0.8459239607066235
2.94,2.664435278770471,0.04222548784820416,0.4910434170219413,0.3089565829780587,0.4926422245454374,0.30564050944321075,-0.850873056279825,-0.8738397901973205,0.022966733917495485,-0.3180386763502433,-17.276360614072576,53,19,0.3535461423348845,-0.8487710062207565
2.95,2.66587644488484,0.0045623522024644805,0.4910434170219413,0.3089565829780587,0.491054096004238,0.30772671872265644,-0.850873056279825,-0.8566699872971097,0.005796931017284734,-0.1340420166850499,-17.091745634560283,53,19,0.3507238609693527,-0.8515953544928038
2.96,2.665073747272782,-0.023203613402680418,0.48810488247369666,0.3118951175263034,0.4895350845759011,0.30977898411205884,-0.8234101165766038,-0.839981777868422,0.016571661291818196,-0.040039558877497994,-16.30748674314009,52,20,0.3478756879287348,-0.8543972848077084
2.97,2.6627321149385046,-0.04040097815500672,0.48810488247369666,0.3118951175263034,0.4878471809894297,0.3120280102629517,-0.8234101165766038,-0.8215849099368134,-0.0018252066397903555,-0.18535757653626622,-16.574212494552775,53,20,0.34500216560024716,-0.8571771626539548
2.98,2.6595765915928746,-0.047749719431060086,0.48801890624248534,0.3119810937575147,0.4865097214107833,0.31394610795420186,-0.8226066003970591,-0.806372025498044,-0.01623457489901514,-0.3468332577577438,-16.836220446168426,53,19,0.3421038652105641,-0.8599353506259347
2.99,2.656227504408565,-0.04695595094473017,0.48801890624248534,0.3119810937575147,0.4854814862397424,0.3155653425742304,-0.8226066003970591,-0.7940006713341681,-0.028605929062891056,-0.49604304311684794,-17.095318275979952,53,19,0.3391813055370201,-0.8626721153225902
3.0,2.653194209911188,-0.03954805703551895,0.48803368479598347,0.3119663152040166,0.4847240556430363,0.3169144560020773,-0.8227447177194714,-0.7841570076680326,-0.038587710051438795,-0.6296626769510154,-17.325099328413504,54,19,0.33623495476600956,-0.8653876191415065
