frame,candidate_index,kind,u_px,v_px,l_value,a_delta,b_delta,halo_kind,halo_distance_px,halo_u_px,halo_v_px,halo_area,halo_mean_a_delta
101,3,green,663.0,328.0,146,0,1,green,23.182639196294847,685.726618705036,332.57553956834533,7,-19.857142857142858
101,4,red,703.0,346.0,119,0,1,red,14.20100522308245,691.7413793103449,337.3448275862069,14,20.714285714285715
101,5,unknown,651.0,458.0,204,2,3,none,,,,,
101,6,unknown,635.0,472.0,204,1,2,none,,,,,
101,7,unknown,675.0,438.0,200,4,2,none,,,,,
101,8,unknown,683.0,431.0,199,3,3,none,,,,,
101,9,unknown,663.0,448.0,198,3,3,none,,,,,
101,10,unknown,722.0,392.0,194,2,3,none,,,,,
101,11,unknown,624.0,373.0,192,1,2,none,,,,,
101,12,unknown,591.0,426.0,192,3,2,none,,,,,
101,13,unknown,601.0,439.0,192,3,3,none,,,,,
101,14,unknown,700.0,417.0,190,3,3,none,,,,,
101,15,unknown,585.0,418.0,190,2,2,none,,,,,
101,16,unknown,615.0,380.0,188,2,2,none,,,,,
101,17,unknown,610.0,386.0,188,4,3,none,,,,,
101,18,unknown,600.0,392.0,188,5,0,none,,,,,
101,19,unknown,641.0,360.0,185,3,3,none,,,,,
101,20,unknown,703.0,366.0,183,3,4,none,,,,,
101,21,unknown,505.0,290.0,182,0,4,none,,,,,
101,22,unknown,506.0,427.0,171,0,2,none,,,,,
101,23,unknown,989.0,267.0,169,-1,-3,none,,,,,
101,24,unknown,990.0,261.0,168,1,-1,none,,,,,
101,25,unknown,989.0,287.0,168,1,-3,none,,,,,
101,26,unknown,988.0,200.0,164,1,-3,none,,,,,
101,27,unknown,434.0,174.0,161,-2,6,none,,,,,
101,28,unknown,798.0,507.0,157,0,2,none,,,,,
101,29,unknown,507.0,532.0,157,-1,2,none,,,,,
101,30,unknown,384.0,230.0,150,0,6,none,,,,,
101,31,unknown,795.0,277.0,148,0,5,none,,,,,
101,32,unknown,797.0,444.0,148,0,2,none,,,,,
101,33,unknown,798.0,485.0,148,0,2,none,,,,,
101,34,unknown,411.0,200.0,147,0,6,none,,,,,
101,35,unknown,794.0,217.0,147,0,5,none,,,,,
101,36,unknown,574.0,397.0,147,0,1,none,,,,,
101,37,unknown,563.0,408.0,147,0,2,none,,,,,
101,38,unknown,794.0,192.0,146,0,5,none,,,,,
101,39,unknown,795.0,295.0,146,0,5,none,,,,,
101,40,unknown,793.0,161.0,145,0,5,none,,,,,
101,41,unknown,621.0,360.0,145,0,0,none,,,,,
101,42,unknown,796.0,364.0,145,0,4,none,,,,,
101,43,unknown,654.0,335.0,144,-1,2,none,,,,,
101,44,unknown,643.0,343.0,144,0,1,none,,,,,
101,45,unknown,631.0,352.0,144,0,1,none,,,,,
101,46,unknown,595.0,380.0,144,0,1,none,,,,,
101,47,unknown,797.0,414.0,144,-1,4,none,,,,,
101,48,unknown,460.0,392.0,142,2,2,none,,,,,
101,49,unknown,480.0,155.0,141,-1,4,none,,,,,
101,50,unknown,546.0,155.0,141,-1,4,none,,,,,
101,51,unknown,797.0,400.0,141,1,2,none,,,,,
101,52,unknown,601.0,363.0,138,-1,4,none,,,,,
101,53,unknown,590.0,445.0,134,0,0,none,,,,,
101,54,unknown,717.0,361.0,130,0,2,none,,,,,
101,55,unknown,730.0,411.0,130,0,1,none,,,,,
101,56,unknown,990.0,512.0,130,1,-1,none,,,,,
101,57,unknown,644.0,502.0,127,2,0,none,,,,,
101,58,unknown,844.0,333.0,125,0,4,none,,,,,
101,59,unknown,989.0,431.0,125,1,-3,none,,,,,
101,60,unknown,768.0,456.0,125,0,2,none,,,,,
101,61,unknown,788.0,518.0,123,0,3,none,,,,,
101,62,unknown,864.0,531.0,120,0,3,none,,,,,
101,63,unknown,958.0,328.0,118,0,3,none,,,,,
102,0,green,678.0,332.0,192,0,4,green,7.792909465278572,685.7552083333334,332.765625,10,-19.2
102,1,red,685.0,342.0,182,4,3,red,7.3979206191816695,691.1673469387755,337.9142857142857,12,20.416666666666668
102,2,green,673.0,321.0,147,1,2,green,17.352961455249133,685.7552083333334,332.765625,10,-19.2
102,3,green,665.0,327.0,146,0,1,green,21.541149101213147,685.7552083333334,332.765625,10,-19.2
102,4,green,687.0,324.0,137,1,0,green,8.853569220039322,685.7552083333334,332.765625,10,-19.2
102,5,red,702.0,346.0,119,-1,4,red,13.517586613558679,691.1673469387755,337.9142857142857,12,20.416666666666668
102,6,unknown,628.0,474.0,202,2,1,none,,,,,
102,7,unknown,615.0,457.0,200,1,3,none,,,,,
102,8,unknown,620.0,464.0,199,2,2,none,,,,,
102,9,unknown,724.0,397.0,196,2,0,none,,,,,
102,10,unknown,676.0,437.0,195,2,3,none,,,,,
