frame,candidate_index,kind,u_px,v_px,l_value,a_delta,b_delta,halo_kind,halo_distance_px,halo_u_px,halo_v_px,halo_area,halo_mean_a_delta
196,68,unknown,626.0,481.0,108,0,0,none,,,,,
261,0,red,691.0,380.0,190,3,2,red,12.253522902798661,692.6117647058824,367.8529411764706,8,21.25
261,1,green,668.0,369.0,177,5,5,green,20.818306330309532,688.5197368421053,365.4868421052632,8,-19.0
261,2,red,696.0,361.0,132,-2,4,red,7.644798308423237,692.6117647058824,367.8529411764706,8,21.25
261,3,unknown,612.0,465.0,204,3,3,none,,,,,
261,4,unknown,586.0,448.0,201,2,3,none,,,,,
261,5,unknown,700.0,392.0,200,2,2,none,,,,,
261,6,unknown,599.0,464.0,200,2,2,none,,,,,
261,7,unknown,655.0,429.0,198,3,3,none,,,,,
261,8,unknown,624.0,455.0,198,3,3,none,,,,,
261,9,unknown,642.0,440.0,195,2,2,none,,,,,
261,10,unknown,573.0,431.0,193,2,4,none,,,,,
261,11,unknown,559.0,413.0,192,4,3,none,,,,,
261,12,unknown,601.0,366.0,191,2,1,none,,,,,
261,13,unknown,676.0,412.0,191,2,2,none,,,,,
261,14,unknown,591.0,374.0,190,2,2,none,,,,,
261,15,unknown,572.0,389.0,187,2,2,none,,,,,
261,16,unknown,975.0,480.0,183,1,-2,none,,,,,
261,17,unknown,656.0,330.0,182,3,2,none,,,,,
261,18,unknown,965.0,518.0,182,1,-3,none,,,,,
261,19,unknown,965.0,531.0,181,1,-2,none,,,,,
261,20,unknown,965.0,493.0,180,1,-2,none,,,,,
261,21,unknown,664.0,342.0,179,2,3,none,,,,,
261,22,unknown,643.0,334.0,178,1,3,none,,,,,
261,23,unknown,974.0,432.0,178,0,-4,none,,,,,
261,24,unknown,479.0,250.0,174,0,5,none,,,,,
261,25,unknown,973.0,319.0,171,1,-2,none,,,,,
261,26,unknown,973.0,333.0,171,1,-1,none,,,,,
261,27,unknown,408.0,166.0,168,1,4,none,,,,,
261,28,unknown,961.0,155.0,166,-1,0,none,,,,,
261,29,unknown,961.0,162.0,166,0,0,none,,,,,
261,30,unknown,961.0,192.0,165,-1,1,none,,,,,
261,31,unknown,769.0,155.0,151,0,2,none,,,,,
261,32,unknown,772.0,503.0,151,2,1,none,,,,,
261,33,unknown,770.0,266.0,150,0,4,none,,,,,
261,34,unknown,637.0,324.0,147,0,1,none,,,,,
261,35,unknown,771.0,396.0,147,0,4,none,,,,,
261,36,unknown,628.0,331.0,145,0,1,none,,,,,
261,37,unknown,595.0,356.0,145,0,2,none,,,,,
261,38,unknown,556.0,386.0,145,1,2,none,,,,,
261,39,unknown,547.0,393.0,145,2,1,none,,,,,
261,40,unknown,539.0,399.0,145,0,2,none,,,,,
261,41,unknown,539.0,407.0,145,0,2,none,,,,,
261,42,unknown,604.0,349.0,144,0,2,none,,,,,
261,43,unknown,570.0,375.0,143,0,1,none,,,,,
261,44,unknown,771.0,347.0,141,0,4,none,,,,,
261,45,unknown,469.0,155.0,139,-1,4,none,,,,,
261,46,unknown,660.0,315.0,139,0,2,none,,,,,
261,47,unknown,613.0,342.0,139,2,1,none,,,,,
261,48,unknown,427.0,446.0,138,0,2,none,,,,,
261,49,unknown,664.0,321.0,134,0,1,none,,,,,
261,50,unknown,565.0,442.0,133,0,2,none,,,,,
261,51,unknown,693.0,315.0,129,-1,4,none,,,,,
261,52,unknown,718.0,404.0,129,0,2,none,,,,,
261,53,unknown,598.0,491.0,129,0,1,none,,,,,
261,54,unknown,617.0,495.0,127,0,0,none,,,,,
261,55,unknown,981.0,239.0,120,0,7,none,,,,,
261,56,unknown,980.0,199.0,118,0,7,none,,,,,
261,57,unknown,983.0,500.0,118,3,2,none,,,,,
261,58,unknown,609.0,484.0,109,1,0,none,,,,,
268,0,red,698.0,391.0,197,2,1,red,22.0056810846654,691.36,370.02,11,22.727272727272727
268,1,red,687.0,375.0,192,0,5,red,6.618912297349188,691.36,370.02,11,22.727272727272727
268,2,green,678.0,363.0,190,2,2,green,14.033689200568881,692.0108932461874,363.79956427015253,20,-22.95
268,3,green,690.0,355.0,132,0,4,green,9.026406981302529,692.0108932461874,363.79956427015253,20,-22.95
268,4,unknown,611.0,465.0,208,3,5,none,,,,,
268,5,unknown,633.0,446.0,199,5,3,none,,,,,
268,6,unknown,586.0,448.0,199,3,3,none,,,,,
268,7,unknown,639.0,441.0,198,4,3,none,,,,,
268,8,unknown,568.0,426.0,197,3,2,none,,,,,
268,9,unknown,558.0,413.0,193,4,3,none,,,,,
268,10,unknown,663.0,421.0,193,3,3,none,,,,,
268,11,unknown,679.0,408.0,191,3,2,none,,,,,
268,12,unknown,578.0,383.0,188,0,4,none,,,,,
268,13,unknown,560.0,397.0,187,2,2,none,,,,,
268,14,unknown,477.0,157.0,183,-1,5,none,,,,,
268,15,unknown,655.0,330.0,181,4,4,none,,,,,
268,16,unknown,619.0,351.0,181,2,1,none,,,,,
268,17,unknown,642.0,376.0,181,5,5,none,,,,,
268,18,unknown,625.0,346.0,180,2,2,none,,,,,
268,19,unknown,662.0,340.0,179,3,2,none,,,,,
268,20,unknown,661.0,384.0,177,5,5,none,,,,,
268,21,unknown,963.0,440.0,177,1,-3,none,,,,,
268,22,unknown,640.0,335.0,175,0,2,none,,,,,
268,23,unknown,973.0,360.0,173,1,-1,none,,,,,
268,24,unknown,962.0,368.0,172,0,-2,none,,,,,
268,25,unknown,971.0,247.0,170,1,-1,none,,,,,
268,26,unknown,961.0,258.0,170,0,-2,none,,,,,
268,27,unknown,960.0,198.0,167,0,0,none,,,,,
268,28,unknown,961.0,231.0,167,0,-2,none,,,,,
268,29,unknown,961.0,239.0,167,1,-1,none,,,,,
268,30,unknown,961.0,248.0,167,1,-1,none,,,,,
268,31,unknown,972.0,284.0,167,1,1,none,,,,,
268,32,unknown,960.0,161.0,163,0,-2,none,,,,,
268,33,unknown,407.0,166.0,163,1,5,none,,,,,
268,34,unknown,771.0,532.0,155,0,1,none,,,,,
268,35,unknown,478.0,528.0,154,0,2,none,,,,,
268,36,unknown,769.0,284.0,152,0,4,none,,,,,
268,37,unknown,768.0,157.0,151,0,5,none,,,,,
268,38,unknown,769.0,317.0,150,0,4,none,,,,,
268,39,unknown,646.0,317.0,146,0,2,none,,,,,
268,40,unknown,640.0,321.0,146,1,0,none,,,,,
268,41,unknown,565.0,378.0,146,0,1,none,,,,,
268,42,unknown,537.0,405.0,145,0,2,none,,,,,
268,43,unknown,542.0,412.0,145,0,1,none,,,,,
268,44,unknown,388.0,193.0,144,0,6,none,,,,,
268,45,unknown,653.0,311.0,144,0,2,none,,,,,
268,46,unknown,599.0,352.0,144,0,1,none,,,,,
268,47,unknown,629.0,329.0,143,0,1,none,,,,,
268,48,unknown,770.0,352.0,141,0,4,none,,,,,
268,49,unknown,770.0,360.0,141,0,4,none,,,,,
268,50,unknown,580.0,366.0,141,0,1,none,,,,,
268,51,unknown,517.0,396.0,139,0,2,none,,,,,
268,52,unknown,382.0,455.0,139,0,1,none,,,,,
268,53,unknown,552.0,373.0,138,0,2,none,,,,,
268,54,unknown,427.0,446.0,138,0,2,none,,,,,
268,55,unknown,561.0,437.0,137,0,1,none,,,,,
268,56,unknown,536.0,463.0,133,0,0,none,,,,,
268,57,unknown,629.0,312.0,132,0,2,none,,,,,
268,58,unknown,572.0,455.0,131,0,0,none,,,,,
268,59,unknown,662.0,450.0,130,0,2,none,,,,,
268,60,unknown,699.0,446.0,127,-1,4,none,,,,,
268,61,unknown,979.0,191.0,122,0,7,none,,,,,
268,62,unknown,980.0,232.0,118,0,7,none,,,,,
268,63,unknown,980.0,267.0,118,1,6,none,,,,,
268,64,unknown,983.0,488.0,118,3,4,none,,,,,
270,0,red,698.0,391.0,195,2,2,red,21.982652597797564,691.2105263157895,370.0921052631579,10,22.8
270,1,red,693.0,384.0,190,4,4,red,14.022544422377903,691.2105263157895,370.0921052631579,10,22.8
270,2,green,675.0,359.0,185,2,4,green,17.933438146856563,692.3208255159475,363.6472795497186,24,-22.208333333333332
270,3,green,690.0,355.0,132,-1,4,green,8.953305238092469,692.3208255159475,363.6472795497186,24,-22.208333333333332
270,4,unknown,611.0,465.0,206,3,4,none,,,,,
270,5,unknown,626.0,452.0,205,2,3,none,,,,,
270,6,unknown,600.0,466.0,204,0,4,none,,,,,
270,7,unknown,633.0,446.0,201,4,3,none,,,,,
270,8,unknown,585.0,448.0,200,2,1,none,,,,,
270,9,unknown,656.0,427.0,198,3,2,none,,,,,
270,10,unknown,663.0,421.0,197,3,3,none,,,,,
270,11,unknown,646.0,435.0,197,1,3,none,,,,,
270,12,unknown,567.0,425.0,195,3,2,none,,,,,
270,13,unknown,572.0,431.0,192,3,3,none,,,,,
270,14,unknown,583.0,379.0,189,0,1,none,,,,,
270,15,unknown,677.0,409.0,188,4,3,none,,,,,
270,16,unknown,559.0,398.0,187,2,2,none,,,,,
270,17,unknown,570.0,389.0,184,1,2,none,,,,,
270,18,unknown,477.0,155.0,182,-1,4,none,,,,,
270,19,unknown,477.0,164.0,182,0,5,none,,,,,
270,20,unknown,477.0,188.0,182,0,5,none,,,,,
270,21,unknown,964.0,532.0,181,0,-2,none,,,,,
270,22,unknown,654.0,329.0,180,3,3,none,,,,,
270,23,unknown,664.0,344.0,180,4,2,none,,,,,
270,24,unknown,650.0,372.0,180,5,5,none,,,,,
270,25,unknown,640.0,335.0,179,0,2,none,,,,,
270,26,unknown,628.0,344.0,179,1,3,none,,,,,
270,27,unknown,972.0,472.0,179,2,-4,none,,,,,
270,28,unknown,973.0,416.0,178,3,-4,none,,,,,
270,29,unknown,972.0,319.0,173,1,0,none,,,,,
270,30,unknown,972.0,326.0,173,0,0,none,,,,,
270,31,unknown,972.0,332.0,173,1,0,none,,,,,
270,32,unknown,972.0,338.0,173,1,0,none,,,,,
270,33,unknown,972.0,311.0,172,0,1,none,,,,,
270,34,unknown,971.0,264.0,171,1,-2,none,,,,,
270,35,unknown,961.0,266.0,171,0,0,none,,,,,
270,36,unknown,961.0,272.0,171,-1,0,none,,,,,
270,37,unknown,972.0,299.0,168,1,0,none,,,,,
270,38,unknown,961.0,293.0,167,-1,0,none,,,,,
270,39,unknown,478.0,496.0,165,0,1,none,,,,,
270,40,unknown,960.0,156.0,164,0,-2,none,,,,,
270,41,unknown,478.0,532.0,160,0,1,none,,,,,
270,42,unknown,406.0,166.0,158,1,6,none,,,,,
270,43,unknown,768.0,157.0,151,0,5,none,,,,,
270,44,unknown,769.0,284.0,150,-1,4,none,,,,,
270,45,unknown,769.0,290.0,150,-1,4,none,,,,,
270,46,unknown,646.0,317.0,150,0,2,none,,,,,
270,47,unknown,769.0,275.0,148,-1,5,none,,,,,
270,48,unknown,769.0,339.0,148,0,4,none,,,,,
270,49,unknown,770.0,415.0,147,1,2,none,,,,,
270,50,unknown,580.0,366.0,146,0,1,none,,,,,
270,51,unknown,553.0,387.0,146,2,1,none,,,,,
270,52,unknown,538.0,407.0,146,0,1,none,,,,,
270,53,unknown,613.0,341.0,145,2,1,none,,,,,
270,54,unknown,388.0,193.0,144,0,6,none,,,,,
270,55,unknown,768.0,240.0,144,-1,5,none,,,,,
270,56,unknown,631.0,327.0,143,0,1,none,,,,,
270,57,unknown,599.0,351.0,143,-1,5,none,,,,,
270,58,unknown,547.0,419.0,142,0,0,none,,,,,
270,59,unknown,624.0,332.0,141,0,1,none,,,,,
270,60,unknown,607.0,345.0,141,0,2,none,,,,,
270,61,unknown,770.0,374.0,141,0,4,none,,,,,
270,62,unknown,517.0,396.0,139,0,2,none,,,,,
270,63,unknown,552.0,373.0,138,0,2,none,,,,,
270,64,unknown,555.0,429.0,138,0,2,none,,,,,
270,65,unknown,560.0,436.0,135,0,2,none,,,,,
270,66,unknown,663.0,321.0,134,1,0,none,,,,,
270,67,unknown,536.0,463.0,133,0,0,none,,,,,
270,68,unknown,690.0,419.0,130,0,1,none,,,,,
270,69,unknown,660.0,451.0,130,0,2,none,,,,,
270,70,unknown,571.0,471.0,130,0,1,none,,,,,
270,71,unknown,699.0,446.0,127,-1,4,none,,,,,
270,72,unknown,979.0,199.0,120,0,7,none,,,,,
270,73,unknown,980.0,240.0,118,0,7,none,,,,,
270,74,unknown,980.0,267.0,117,1,6,none,,,,,
270,75,unknown,980.0,274.0,117,1,6,none,,,,,
270,76,unknown,987.0,164.0,115,-1,8,none,,,,,
270,77,unknown,714.0,393.0,114,4,2,none,,,,,
288,0,red,697.0,391.0,201,2,3,red,19.765212339541424,695.2027777777778,371.31666666666666,17,21.176470588235293
288,1,red,679.0,367.0,192,2,4,red,16.767934244478674,695.2027777777778,371.31666666666666,17,21.176470588235293
288,2,red,706.0,372.0,129,0,4,red,10.818823973080148,695.2027777777778,371.31666666666666,17,21.176470588235293
288,3,unknown,608.0,466.0,206,1,2,none,,,,,
288,4,unknown,624.0,452.0,201,2,4,none,,,,,
288,5,unknown,632.0,445.0,200,2,3,none,,,,,
288,6,unknown,654.0,427.0,199,3,3,none,,,,,
288,7,unknown,596.0,462.0,199,1,3,none,,,,,
288,8,unknown,642.0,437.0,198,3,3,none,,,,,
288,9,unknown,618.0,457.0,198,3,3,none,,,,,
288,10,unknown,564.0,422.0,195,2,3,none,,,,,
288,11,unknown,589.0,373.0,192,1,2,none,,,,,
288,12,unknown,556.0,412.0,192,4,4,none,,,,,
288,13,unknown,671.0,413.0,191,4,3,none,,,,,
288,14,unknown,579.0,381.0,188,3,1,none,,,,,
288,15,unknown,568.0,390.0,186,2,3,none,,,,,
288,16,unknown,562.0,394.0,185,3,1,none,,,,,
288,17,unknown,582.0,410.0,185,4,4,none,,,,,
288,18,unknown,587.0,390.0,184,3,5,none,,,,,
288,19,unknown,663.0,344.0,181,3,4,none,,,,,
288,20,unknown,623.0,346.0,181,0,4,none,,,,,
288,21,unknown,641.0,333.0,179,2,1,none,,,,,
288,22,unknown,655.0,333.0,178,3,4,none,,,,,
288,23,unknown,962.0,475.0,178,1,-3,none,,,,,
288,24,unknown,608.0,416.0,176,4,4,none,,,,,
288,25,unknown,971.0,349.0,174,2,-4,none,,,,,
288,26,unknown,963.0,404.0,174,2,-4,none,,,,,
288,27,unknown,970.0,313.0,172,1,0,none,,,,,
288,28,unknown,969.0,207.0,171,1,-1,none,,,,,
288,29,unknown,476.0,344.0,171,-1,4,none,,,,,
288,30,unknown,961.0,369.0,171,1,-3,none,,,,,
288,31,unknown,959.0,219.0,170,0,-3,none,,,,,
288,32,unknown,405.0,165.0,168,-2,6,none,,,,,
288,33,unknown,965.0,241.0,168,-1,-3,none,,,,,
288,34,unknown,476.0,356.0,167,0,2,none,,,,,
288,35,unknown,476.0,376.0,165,0,1,none,,,,,
288,36,unknown,960.0,195.0,164,1,-2,none,,,,,
288,37,unknown,477.0,387.0,164,0,1,none,,,,,
288,38,unknown,769.0,455.0,152,2,1,none,,,,,
288,39,unknown,767.0,229.0,151,0,5,none,,,,,
288,40,unknown,644.0,317.0,151,0,2,none,,,,,
288,41,unknown,650.0,312.0,146,0,1,none,,,,,
288,42,unknown,769.0,434.0,146,0,4,none,,,,,
288,43,unknown,769.0,426.0,145,1,2,none,,,,,
288,44,unknown,630.0,327.0,143,0,1,none,,,,,
288,45,unknown,620.0,334.0,143,0,1,none,,,,,
288,46,unknown,562.0,379.0,143,0,1,none,,,,,
288,47,unknown,578.0,366.0,140,0,1,none,,,,,
288,48,unknown,553.0,428.0,140,0,1,none,,,,,
288,49,unknown,544.0,416.0,139,0,1,none,,,,,
288,50,unknown,559.0,436.0,138,0,2,none,,,,,
288,51,unknown,603.0,499.0,129,0,1,none,,,,,
288,52,unknown,728.0,390.0,127,0,4,none,,,,,
288,53,unknown,707.0,404.0,127,0,2,none,,,,,
288,54,unknown,744.0,159.0,125,0,5,none,,,,,
288,55,unknown,761.0,264.0,125,0,4,none,,,,,
288,56,unknown,872.0,224.0,121,1,5,none,,,,,
288,57,unknown,978.0,196.0,120,0,5,none,,,,,
288,58,unknown,980.0,407.0,119,3,6,none,,,,,
288,59,unknown,980.0,415.0,119,2,6,none,,,,,
288,60,unknown,990.0,524.0,114,1,2,none,,,,,
373,0,green,677.0,363.0,186,3,3,green,16.997399080747698,689.5085714285714,374.50857142857143,8,-21.875
373,1,green,699.0,364.0,129,-1,4,green,14.160412769263452,689.5085714285714,374.50857142857143,8,-21.875
373,2,red,715.0,379.0,127,0,4,red,15.88813115295895,699.6349480968859,383.0432525951557,25,23.12
373,3,unknown,601.0,464.0,210,1,3,none,,,,,
373,4,unknown,584.0,447.0,200,2,3,none,,,,,
373,5,unknown,592.0,364.0,199,1,3,none,,,,,
373,6,unknown,622.0,446.0,199,2,3,none,,,,,
373,7,unknown,590.0,455.0,199,3,3,none,,,,,
373,8,unknown,644.0,428.0,197,2,3,none,,,,,
373,9,unknown,602.0,356.0,192,1,3,none,,,,,
373,10,unknown,670.0,407.0,192,2,3,none,,,,,
373,11,unknown,563.0,420.0,192,4,1,none,,,,,
373,12,unknown,581.0,372.0,190,2,1,none,,,,,
373,13,unknown,560.0,388.0,190,3,2,none,,,,,
373,14,unknown,553.0,407.0,190,3,4,none,,,,,
373,15,unknown,573.0,378.0,189,0,2,none,,,,,
373,16,unknown,968.0,452.0,182,1,-3,none,,,,,
373,17,unknown,652.0,327.0,180,2,1,none,,,,,
373,18,unknown,662.0,342.0,180,2,4,none,,,,,
373,19,unknown,658.0,336.0,177,2,2,none,,,,,
373,20,unknown,474.0,155.0,174,-1,4,none,,,,,
373,21,unknown,473.0,455.0,166,-1,2,none,,,,,
373,22,unknown,473.0,501.0,166,-1,3,none,,,,,
373,23,unknown,967.0,213.0,165,-1,0,none,,,,,
373,24,unknown,957.0,192.0,164,1,-2,none,,,,,
373,25,unknown,957.0,163.0,163,0,-2,none,,,,,
373,26,unknown,403.0,158.0,158,0,6,none,,,,,
373,27,unknown,641.0,313.0,151,0,1,none,,,,,
373,28,unknown,392.0,304.0,148,0,4,none,,,,,
373,29,unknown,531.0,397.0,148,-1,3,none,,,,,
373,30,unknown,380.0,210.0,147,0,6,none,,,,,
373,31,unknown,415.0,285.0,146,0,4,none,,,,,
373,32,unknown,543.0,386.0,146,-1,3,none,,,,,
373,33,unknown,578.0,359.0,144,-1,4,none,,,,,
373,34,unknown,571.0,364.0,144,0,2,none,,,,,
373,35,unknown,558.0,374.0,144,0,1,none,,,,,
373,36,unknown,539.0,409.0,143,0,2,none,,,,,
373,37,unknown,765.0,158.0,141,-1,5,none,,,,,
373,38,unknown,632.0,319.0,141,0,1,none,,,,,
373,39,unknown,622.0,326.0,141,0,1,none,,,,,
373,40,unknown,765.0,380.0,139,1,2,none,,,,,
373,41,unknown,658.0,315.0,133,0,1,none,,,,,
373,42,unknown,464.0,472.0,133,1,2,none,,,,,
373,43,unknown,691.0,408.0,128,-1,2,none,,,,,
373,44,unknown,709.0,344.0,127,-1,4,none,,,,,
373,45,unknown,639.0,494.0,126,0,1,none,,,,,
416,0,red,698.0,387.0,197,5,1,red,6.636940467500677,704.5573770491803,388.0245901639344,7,17.428571428571427
416,1,red,693.0,380.0,193,3,5,red,14.070075037327744,704.5573770491803,388.0245901639344,7,17.428571428571427
416,2,red,695.0,407.0,131,0,2,red,21.246402860410356,704.5573770491803,388.0245901639344,7,17.428571428571427
416,3,green,718.0,379.0,130,-2,5,green,13.328786889430825,709.588996763754,389.3398058252427,15,-20.6
416,4,green,712.0,372.0,127,0,4,green,17.506621680447356,709.588996763754,389.3398058252427,15,-20.6
416,5,unknown,602.0,465.0,206,2,1,none,,,,,
416,6,unknown,580.0,437.0,203,2,4,none,,,,,
416,7,unknown,644.0,430.0,197,2,2,none,,,,,
416,8,unknown,568.0,421.0,195,4,4,none,,,,,
416,9,unknown,561.0,412.0,194,1,3,none,,,,,
416,10,unknown,659.0,418.0,193,1,3,none,,,,,
416,11,unknown,670.0,409.0,191,1,3,none,,,,,
416,12,unknown,598.0,361.0,189,1,2,none,,,,,
416,13,unknown,604.0,356.0,188,1,4,none,,,,,
416,14,unknown,587.0,369.0,188,3,1,none,,,,,
416,15,unknown,679.0,361.0,187,2,5,none,,,,,
416,16,unknown,579.0,375.0,187,2,0,none,,,,,
416,17,unknown,558.0,391.0,187,1,3,none,,,,,
416,18,unknown,679.0,402.0,187,1,3,none,,,,,
416,19,unknown,583.0,399.0,185,3,5,none,,,,,
416,20,unknown,478.0,255.0,183,-1,5,none,,,,,
416,21,unknown,640.0,329.0,181,2,1,none,,,,,
416,22,unknown,624.0,341.0,181,3,2,none,,,,,
416,23,unknown,667.0,343.0,181,3,3,none,,,,,
416,24,unknown,652.0,321.0,180,1,0,none,,,,,
416,25,unknown,961.0,487.0,180,2,-4,none,,,,,
416,26,unknown,961.0,427.0,179,2,-4,none,,,,,
416,27,unknown,659.0,331.0,178,3,2,none,,,,,
416,28,unknown,477.0,343.0,178,-1,4,none,,,,,
416,29,unknown,963.0,521.0,178,2,-4,none,,,,,
416,30,unknown,478.0,285.0,177,-1,5,none,,,,,
416,31,unknown,655.0,357.0,174,3,7,none,,,,,
416,32,unknown,972.0,157.0,167,0,1,none,,,,,
416,33,unknown,408.0,157.0,165,-1,6,none,,,,,
416,34,unknown,645.0,312.0,154,0,1,none,,,,,
416,35,unknown,384.0,181.0,147,-3,6,none,,,,,
416,36,unknown,769.0,232.0,147,-1,5,none,,,,,
416,37,unknown,639.0,316.0,147,2,1,none,,,,,
416,38,unknown,535.0,397.0,147,-1,3,none,,,,,
416,39,unknown,586.0,355.0,146,0,1,none,,,,,
416,40,unknown,769.0,390.0,146,0,2,none,,,,,
416,41,unknown,553.0,380.0,145,0,2,none,,,,,
416,42,unknown,547.0,414.0,145,-1,2,none,,,,,
416,43,unknown,769.0,425.0,143,-1,4,none,,,,,
416,44,unknown,466.0,247.0,142,-3,6,none,,,,,
416,45,unknown,468.0,318.0,142,-2,4,none,,,,,
416,46,unknown,567.0,440.0,138,0,1,none,,,,,
416,47,unknown,435.0,501.0,136,0,2,none,,,,,
416,48,unknown,663.0,316.0,132,0,1,none,,,,,
416,49,unknown,659.0,247.0,130,0,5,none,,,,,
416,50,unknown,673.0,313.0,130,-2,5,none,,,,,
416,51,unknown,660.0,446.0,130,-1,3,none,,,,,
416,52,unknown,579.0,457.0,130,0,0,none,,,,,
416,53,unknown,582.0,463.0,130,0,0,none,,,,,
416,54,unknown,596.0,483.0,129,1,0,none,,,,,
416,55,unknown,617.0,487.0,128,0,0,none,,,,,
416,56,unknown,588.0,470.0,127,0,0,none,,,,,
416,57,unknown,752.0,532.0,124,0,2,none,,,,,
416,58,unknown,849.0,400.0,122,0,4,none,,,,,
416,59,unknown,980.0,452.0,121,1,5,none,,,,,
416,60,unknown,915.0,280.0,119,0,5,none,,,,,
416,61,unknown,980.0,487.0,119,1,5,none,,,,,
416,62,unknown,673.0,331.0,118,-1,4,none,,,,,
416,63,unknown,979.0,532.0,118,1,2,none,,,,,
416,64,unknown,990.0,531.0,117,0,4,none,,,,,
446,0,green,698.0,386.0,200,1,3,green,8.318884322637073,700.2062937062936,394.02097902097904,14,-20.428571428571427
446,1,green,678.0,402.0,193,1,2,green,23.59627631542387,700.2062937062936,394.02097902097904,14,-20.428571428571427
446,2,red,717.0,375.0,127,0,4,red,19.101716612676988,705.7614285714286,390.4457142857143,27,25.925925925925927
446,3,unknown,610.0,457.0,205,2,4,none,,,,,
446,4,unknown,596.0,455.0,200,1,7,none,,,,,
446,5,unknown,585.0,442.0,199,1,2,none,,,,,
446,6,unknown,616.0,452.0,199,2,4,none,,,,,
446,7,unknown,567.0,418.0,197,3,4,none,,,,,
446,8,unknown,648.0,426.0,197,2,2,none,,,,,
446,9,unknown,572.0,425.0,195,3,5,none,,,,,
446,10,unknown,642.0,431.0,193,3,3,none,,,,,
446,11,unknown,559.0,408.0,192,1,2,none,,,,,
446,12,unknown,587.0,368.0,191,2,2,none,,,,,
446,13,unknown,561.0,388.0,188,3,1,none,,,,,
446,14,unknown,578.0,375.0,187,2,2,none,,,,,
446,15,unknown,578.0,385.0,185,3,5,none,,,,,
446,16,unknown,654.0,322.0,183,3,2,none,,,,,
446,17,unknown,478.0,300.0,182,-2,4,none,,,,,
446,18,unknown,625.0,339.0,181,0,2,none,,,,,
446,19,unknown,971.0,532.0,181,1,-3,none,,,,,
446,20,unknown,478.0,258.0,180,-1,5,none,,,,,
446,21,unknown,665.0,338.0,180,3,4,none,,,,,
446,22,unknown,478.0,317.0,179,-1,5,none,,,,,
446,23,unknown,961.0,530.0,179,2,-4,none,,,,,
446,24,unknown,478.0,251.0,178,-2,6,none,,,,,
446,25,unknown,643.0,326.0,178,1,2,none,,,,,
446,26,unknown,632.0,334.0,178,1,3,none,,,,,
446,27,unknown,972.0,431.0,177,2,-2,none,,,,,
446,28,unknown,477.0,439.0,174,-1,3,none,,,,,
446,29,unknown,478.0,340.0,173,-1,5,none,,,,,
446,30,unknown,972.0,263.0,167,0,-2,none,,,,,
446,31,unknown,408.0,156.0,165,-1,6,none,,,,,
446,32,unknown,477.0,492.0,158,-1,3,none,,,,,
446,33,unknown,645.0,311.0,151,0,2,none,,,,,
446,34,unknown,770.0,200.0,150,0,5,none,,,,,
446,35,unknown,547.0,383.0,148,-1,2,none,,,,,
446,36,unknown,768.0,532.0,147,0,1,none,,,,,
446,37,unknown,770.0,237.0,146,-1,5,none,,,,,
446,38,unknown,638.0,316.0,146,0,1,none,,,,,
446,39,unknown,570.0,366.0,146,1,0,none,,,,,
446,40,unknown,625.0,325.0,145,0,2,none,,,,,
446,41,unknown,587.0,353.0,145,-1,4,none,,,,,
446,42,unknown,536.0,392.0,145,-1,3,none,,,,,
446,43,unknown,537.0,398.0,145,-1,3,none,,,,,
446,44,unknown,632.0,320.0,143,0,2,none,,,,,
446,45,unknown,544.0,408.0,141,0,2,none,,,,,
446,46,unknown,583.0,279.0,138,-1,4,none,,,,,
446,47,unknown,664.0,316.0,133,0,2,none,,,,,
446,48,unknown,566.0,439.0,133,0,2,none,,,,,
446,49,unknown,671.0,427.0,131,0,2,none,,,,,
446,50,unknown,577.0,454.0,131,0,0,none,,,,,
446,51,unknown,679.0,419.0,130,-1,2,none,,,,,
446,52,unknown,584.0,463.0,127,0,0,none,,,,,
446,53,unknown,980.0,516.0,122,0,5,none,,,,,
446,54,unknown,980.0,471.0,120,0,5,none,,,,,
446,55,unknown,940.0,431.0,117,0,1,none,,,,,
446,56,unknown,980.0,532.0,117,0,4,none,,,,,
446,57,unknown,990.0,520.0,115,1,2,none,,,,,
448,0,green,699.0,393.0,242,-10,5,green,1.3743402962479625,699.7943925233645,394.1214953271028,10,-21.4
448,1,green,697.0,386.0,199,4,3,green,8.588790131490498,699.7943925233645,394.1214953271028,10,-21.4
448,2,green,691.0,376.0,192,3,4,green,20.14273895837454,699.7943925233645,394.1214953271028,10,-21.4
448,3,green,685.0,396.0,185,3,3,green,14.913176386721945,699.7943925233645,394.1214953271028,10,-21.4
448,4,unknown,613.0,454.0,204,2,3,none,,,,,
448,5,unknown,607.0,459.0,204,5,2,none,,,,,
448,6,unknown,601.0,462.0,204,2,1,none,,,,,
448,7,unknown,592.0,451.0,202,4,3,none,,,,,
448,8,unknown,646.0,427.0,199,3,3,none,,,,,
448,9,unknown,628.0,442.0,199,2,3,none,,,,,
448,10,unknown,581.0,437.0,198,1,4,none,,,,,
448,11,unknown,587.0,445.0,198,1,3,none,,,,,
448,12,unknown,634.0,437.0,197,3,2,none,,,,,
448,13,unknown,567.0,419.0,194,2,3,none,,,,,
448,14,unknown,562.0,412.0,193,2,4,none,,,,,
448,15,unknown,588.0,367.0,189,1,1,none,,,,,
448,16,unknown,679.0,359.0,188,5,5,none,,,,,
448,17,unknown,683.0,365.0,188,2,4,none,,,,,
