frame,candidate_index,u_px,v_px,blob_size,response,brightness,pathway,pathway_idx
91,16,696.5,464.5,1.4142135381698608,0.0,121.0,low,6
91,17,988.5020746887967,381.5,3.6762397289276123,0.0,121.0,low,11
91,18,739.8426558497011,378.53757472245945,6.727392673492432,0.0,121.0,low,12
91,19,721.9368258859785,345.55855161787366,19.682476043701172,0.0,121.0,low,15
91,20,844.4979253112033,313.5,2.288245677947998,0.0,121.0,low,16
91,21,785.7083333333334,399.2083333333333,9.495545387268066,0.0,120.0,low,10
91,22,836.5,257.5,2.288245677947998,0.0,120.0,low,17
91,23,788.6666666666666,161.22222222222223,3.1622776985168457,0.0,120.0,low,18
101,0,685.6812053925456,331.59714512291833,1.813529372215271,0.0,246.0,low,24
101,1,692.9992069785884,360.71451229183185,2.403700828552246,0.0,181.0,high,3
101,2,660.3684210526316,413.6578947368421,9.518960952758789,0.0,180.0,high,0
101,3,678.5,404.5,1.4142135381698608,0.0,180.0,high,1
101,4,688.5,402.5,1.4142135381698608,0.0,180.0,high,2
101,5,660.75,358.0,1.7207592725753784,0.0,180.0,high,4
101,6,707.5301240401653,431.9273479031305,6.744078159332275,0.0,123.0,low,16
101,7,644.4979253112033,502.49792531120335,1.4142135381698608,0.0,122.0,low,6
101,8,721.5721040189126,417.8605200945627,2.065324306488037,0.0,122.0,low,17
101,9,737.2628951747088,377.1349602514328,7.757335662841797,0.0,122.0,low,20
101,10,720.6834658775662,347.519419271315,17.497299194335938,0.0,122.0,low,22
101,11,659.5,523.5,7.6157732009887695,0.0,121.0,low,0
101,12,647.7716328066215,519.1858540255831,5.53021764755249,0.0,121.0,low,1
101,13,637.8333333333334,513.8333333333334,2.8491294384002686,0.0,121.0,low,2
101,14,660.156087408949,505.934053069719,8.551302909851074,0.0,121.0,low,4
101,15,718.5,443.0,4.130648612976074,0.0,121.0,low,13
101,16,988.4003322259136,438.80066445182723,1.7916128635406494,0.0,121.0,low,14
101,17,727.1306504961411,436.699558985667,8.340485572814941,0.0,121.0,low,15
101,18,648.5,510.5,1.4142135381698608,0.0,120.0,low,3
101,19,618.5,493.5,2.288245677947998,0.0,120.0,low,8
101,20,689.92,497.68,7.227535724639893,0.0,120.0,low,9
101,21,707.0,478.5,4.130648612976074,0.0,120.0,low,11
101,22,607.4666666666667,479.1333333333333,4.247652530670166,0.0,120.0,low,12
101,23,757.0625,394.1875,4.053088665008545,0.0,120.0,low,19
101,24,755.5,349.5,11.045360565185547,0.0,120.0,low,21
101,25,788.5,227.0,4.130648612976074,0.0,120.0,low,25
101,26,788.5,217.5,2.288245677947998,0.0,120.0,low,26
113,0,686.5022675736961,332.562358276644,1.4142135381698608,0.0,249.0,high,2
113,1,624.0,412.9166666666667,3.1622776985168457,0.0,180.0,high,0
113,2,636.6,392.2,1.7916128635406494,0.0,180.0,high,1
113,3,988.1341812970262,488.11429595127197,11.774385452270508,0.0,153.0,low,10
113,4,988.7716312056738,524.5219858156029,11.811273574829102,0.0,127.0,low,3
113,5,657.4979253112033,499.0,1.6180340051651,0.0,122.0,low,6
113,6,709.3342541436464,429.835635359116,1.9116278886795044,0.0,122.0,low,14
113,7,725.445471349353,415.44177449168205,3.0267140865325928,0.0,122.0,low,16
113,8,736.9252291365171,378.40870718765075,9.004534721374512,0.0,122.0,low,18
113,9,659.5,523.5,7.6157732009887695,0.0,121.0,low,0
113,10,646.8611738148984,517.1858540255831,5.137639999389648,0.0,121.0,low,1
113,11,637.8333333333334,513.8333333333334,2.8491294384002686,0.0,121.0,low,2
