frame,candidate_index,u_px,v_px,blob_size,response,brightness,distance_to_red,distance_to_green,label
261,0,687.5005313496281,364.50797024442085,1.4142135381698608,0.0,243.0,,0.5,green_gt_hit
261,1,617.5783658040128,384.2631578947368,4.275713920593262,0.0,182.0,,72.8,no_gt_hit
288,0,692.0,373.80479452054794,1.4142135381698608,0.0,240.0,,5.8,green_gt_hit
373,0,688.0850556438792,374.31240063593003,1.7207592725753784,0.0,245.0,,3.4,green_gt_hit
416,0,706.8785714285714,388.48794642857143,2.3425474166870117,0.0,255.0,139.8,4.8,green_gt_hit
416,1,692.0058395163506,382.73021434460014,13.994457244873047,0.0,200.0,126.9,20.2,no_gt_hit
416,2,680.589383886256,365.338009478673,6.9285993576049805,0.0,187.0,122.8,38.2,no_gt_hit
416,3,618.0,385.0,2.288245677947998,0.0,181.0,59.0,93.6,no_gt_hit
416,4,623.3333333333334,384.5,1.4142135381698608,0.0,181.0,63.6,88.3,no_gt_hit
446,0,699.7936802973977,393.3717472118959,1.7916128635406494,0.0,249.0,,1.7,green_gt_hit
446,1,633.0982882385423,377.39149641082275,3.72631573677063,0.0,182.0,,70.1,no_gt_hit
446,2,603.8333333333334,397.1666666666667,2.8491294384002686,0.0,181.0,,97.2,no_gt_hit
446,3,613.5,382.5,2.288245677947998,0.0,181.0,,88.4,no_gt_hit
446,4,663.7647058823529,373.44117647058823,7.1565375328063965,0.0,181.0,,42.8,no_gt_hit
470,0,700.3629402756509,391.16845329249617,1.8242043256759644,0.0,255.0,102.9,0.7,green_gt_hit
470,1,607.8234112032153,372.9522732981663,2.433521032333374,0.0,183.0,13.8,93.9,red_gt_hit
486,0,705.0295748613678,378.996303142329,2.0,0.0,250.0,,1.3,green_gt_hit
486,1,691.4272429961779,373.0246660624926,18.60100555419922,0.0,203.0,,13.9,green_gt_hit
486,2,671.3,371.95,5.000735282897949,0.0,181.0,,33.4,no_gt_hit
561,0,690.9932716568545,397.8107653490328,2.0615527629852295,0.0,230.0,,2.0,green_gt_hit
561,1,692.0734473957841,365.99442291331883,22.901254653930664,0.0,192.0,,32.5,no_gt_hit
561,2,650.1108715737604,387.88266091777024,1.4142135381698608,0.0,181.0,,44.0,no_gt_hit
561,3,661.4338081273565,381.64264767490573,13.39913558959961,0.0,181.0,,35.6,no_gt_hit
561,4,640.9986149584488,372.7465373961219,1.4142135381698608,0.0,181.0,,57.9,no_gt_hit
561,5,974.6,473.2,3.1622776985168457,0.0,180.0,,291.5,no_gt_hit
590,0,977.2117740023706,464.3583563808771,5.372549057006836,0.0,183.0,381.8,295.5,no_gt_hit
590,1,979.1446640316206,530.0023715415019,2.2360680103302,0.0,182.0,408.0,318.3,no_gt_hit
590,2,976.7506925207756,476.5,3.1135902404785156,0.0,182.0,385.2,297.9,no_gt_hit
590,3,677.3970099667774,391.19767441860466,2.282299041748047,0.0,182.0,76.3,14.1,green_gt_hit
590,4,976.5,488.5,1.4142135381698608,0.0,180.0,389.0,301.0,no_gt_hit
638,0,698.9168435951875,356.76539278131634,5.678415775299072,0.0,196.0,,52.8,no_gt_hit
638,1,984.8005540166205,471.29972299168975,8.043963432312012,0.0,182.0,,312.5,no_gt_hit
638,2,622.6799899446959,388.6329813976873,7.748547077178955,0.0,181.0,,59.1,no_gt_hit
708,0,675.2043795620438,403.2415394824154,1.4142135381698608,0.0,244.0,,3.7,green_gt_hit
