frame,candidate_index,kind,refine_status,u_px,v_px,halo_u_px,halo_v_px,halo_area,halo_mean_a_delta,core_u_px,core_v_px,core_area_px,core_diameter_px,core_mean_l,core_max_l,core_a_delta,core_b_delta,core_offset_px,core_score
476,1,red,fallback_halo_center,703.2248520710059,392.2603550295858,703.2248520710059,392.2603550295858,9,18.77777777777778,,,,,,,,,,
486,0,green,fallback_halo_center,705.9832285115303,379.77777777777777,705.9832285115303,379.77777777777777,21,-22.714285714285715,,,,,,,,,,
486,1,red,fallback_halo_center,701.4555160142348,393.20640569395016,701.4555160142348,393.20640569395016,14,20.071428571428573,,,,,,,,,,
590,0,red,fallback_halo_center,685.7342192691029,403.3687707641196,685.7342192691029,403.3687707641196,14,21.5,,,,,,,,,,
621,0,green,fallback_halo_center,685.2183673469387,408.73979591836735,685.2183673469387,408.73979591836735,36,-27.22222222222222,,,,,,,,,,
621,1,red,fallback_halo_center,683.5866666666667,403.37333333333333,683.5866666666667,403.37333333333333,15,20.0,,,,,,,,,,
632,0,green,fallback_halo_center,679.349593495935,406.4308943089431,679.349593495935,406.4308943089431,7,-17.571428571428573,,,,,,,,,,
632,1,red,fallback_halo_center,681.4607843137255,402.15686274509807,681.4607843137255,402.15686274509807,10,20.4,,,,,,,,,,
638,0,red,core_found,678.5950920245399,405.0579413769598,682.5214723926381,403.50306748466255,8,20.375,678.5950920245399,405.0579413769598,9,3.385137501286538,163.0,249,-10,3,4.223043406825749,158.77695659317425
641,0,red,fallback_halo_center,682.638036809816,403.39877300613495,682.638036809816,403.39877300613495,8,20.375,,,,,,,,,,
684,0,green,fallback_halo_center,681.51875,395.79083333333335,681.51875,395.79083333333335,82,-29.26829268292683,,,,,,,,,,
684,1,red,fallback_halo_center,676.7395833333334,405.94444444444446,676.7395833333334,405.94444444444446,12,24.0,,,,,,,,,,
