frame,candidate_index,u_px,v_px,core_area_px,brightness,red_score,green_score,label,score_gap
416,0,675.0011037527594,403.0011037527594,2.0,181.1999969482422,0.3379736840724945,0.0,red,0.3379736840724945
416,1,666.2747785863372,374.20590060359905,78.5,180.88775634765625,0.24937641620635986,0.0,red,0.24937641620635986
416,2,679.1688787185354,362.99176201372995,7.0,182.0833282470703,0.21215753257274628,0.0,red,0.21215753257274628
416,3,692.0819344238874,382.5058218444175,56.5,184.19737243652344,0.19380873441696167,0.0,uncertain,0.19380873441696167
416,4,684.0,369.4941580756014,4.0,181.875,0.1771433800458908,0.0,uncertain,0.1771433800458908
446,0,604.0,397.0,2.0,181.0,0.501740038394928,0.0,red,0.501740038394928
446,1,663.7666666666667,373.43333333333334,20.5,181.0,0.38046708703041077,0.0,red,0.38046708703041077
446,2,687.7458485344068,377.3354195496289,139.0,183.79190063476562,0.2667328715324402,9.117308218264952e-05,red,0.26664169845025754
446,3,680.0041067761807,362.498288843258,4.0,182.625,0.26234298944473267,0.0,red,0.26234298944473267
470,0,686.921179433828,374.1170399167716,163.5,183.54774475097656,0.23376017808914185,0.0,red,0.23376017808914185
470,1,677.0,356.0,2.0,180.1999969482422,0.12437561899423599,0.0,uncertain,0.12437561899423599
470,2,663.8485387785688,377.8309291869614,40.5,180.94915771484375,0.0,0.0,white/no-color,0.0
476,0,687.8852985053621,373.56497874855745,159.5,184.0777130126953,0.3189601004123688,0.0,red,0.3189601004123688
476,1,672.0,367.0,2.0,181.0,0.0022793503012508154,0.0,white/no-color,0.0022793503012508154
486,0,705.0295748613678,378.996303142329,2.0,216.39999389648438,0.03918151184916496,0.8559744358062744,green,0.8167929239571095
486,1,691.7253823067028,372.9617336001143,119.0,184.13157653808594,0.3093790113925934,0.0,red,0.3093790113925934
486,2,684.0,370.50103376981394,4.0,181.375,0.2147839516401291,0.0,red,0.2147839516401291
486,3,679.0013745704467,396.506529209622,4.0,181.875,0.07541864365339279,0.0,uncertain,0.07541864365339279
486,4,673.3636363636364,374.0,6.0,181.0,0.0,0.0,white/no-color,0.0
561,0,663.580670303975,381.42108339828525,40.0,180.07017517089844,1.0,0.0,red,1.0
590,0,976.9972432804963,464.50103376981394,4.0,181.375,0.002103446749970317,0.0,white/no-color,0.002103446749970317
606,0,625.5,393.0,4.0,181.0,0.6350440382957458,0.0,red,0.6350440382957458
606,1,705.2555490409582,372.8562693692939,51.0,183.6769256591797,0.5072353482246399,0.0011926343431696296,red,0.5060427138814703
606,2,981.5959837877672,460.364406779661,20.0,180.93333435058594,0.052277807146310806,0.0,uncertain,0.052277807146310806
621,0,980.9988925802879,449.0,2.0,180.60000610351562,0.0021094067487865686,0.0,white/no-color,0.0021094067487865686
638,0,705.8755522827688,366.3551036592274,77.5,183.8958282470703,0.7256178855895996,0.0,red,0.7256178855895996
638,1,693.6341056617382,352.3089163360981,100.0,181.8360595703125,0.6050477623939514,0.0,red,0.6050477623939514
684,0,698.7028468291082,352.986011978013,94.0,181.9253692626953,0.19007086753845215,0.0,uncertain,0.19007086753845215
